# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], level0_avg_total_rows
1618223071.442012787, 0.000001265, 0.000001723, 0.000003896, 0.000005263, 0.000018996, 0.000024595, 0.000001265, 0.000001723, 0.000003896, 0.000005263, 0.000018996, 0.000024595, 1, 1, 0.000000000
1618223071.475345850, 0.000002515, 0.000003170, 0.000005070, 0.000021241, 0.000025858, 0.000033273, 0.000002515, 0.000003170, 0.000005070, 0.000021241, 0.000025858, 0.000033273, 1, 1, 0.000000000
1618223071.508678675, 0.000001594, 0.000002393, 0.000003798, 0.000016325, 0.000022069, 0.000041028, 0.000000248, 0.000000587, 0.000001189, 0.000005099, 0.000011509, 0.000029246, 1, 1, 16.000000000
1618223071.542011499, 0.000000781, 0.000000886, 0.000000980, 0.000003716, 0.000009733, 0.000014762, 0.000000025, 0.000000049, 0.000000128, 0.000000692, 0.000000903, 0.000001672, 1, 1, 84.000000000
1618223071.608677387, 0.000000059, 0.000000063, 0.000000204, 0.000000588, 0.000001337, 0.000001392, 0.000000009, 0.000000012, 0.000000016, 0.000000157, 0.000000306, 0.000000362, 1, 1, 118.000000000
1618223071.642010450, 0.000000208, 0.000000339, 0.000000443, 0.000000555, 0.000000753, 0.000000858, 0.000000003, 0.000000011, 0.000000023, 0.000000025, 0.000000325, 0.000000362, 1, 1, 142.000000000
1618223071.675343275, 0.000000111, 0.000000134, 0.000000345, 0.000000201, 0.000000742, 0.000000846, 0.000000013, 0.000000020, 0.000000061, 0.000000132, 0.000000329, 0.000000402, 1, 1, 135.000000000
1618223071.708676100, 0.000000065, 0.000000070, 0.000000121, 0.000000412, 0.000000452, 0.000000654, 0.000000011, 0.000000023, 0.000000030, 0.000000153, 0.000000306, 0.000000367, 1, 1, 140.000000000
1618223071.742008924, 0.000000110, 0.000000203, 0.000000282, 0.000000451, 0.000000642, 0.000000785, 0.000000006, 0.000000009, 0.000000029, 0.000000077, 0.000000357, 0.000000475, 1, 1, 132.000000000
1618223071.808674812, 0.000000027, 0.000000034, 0.000000079, 0.000000318, 0.000000438, 0.000000538, 0.000000002, 0.000000007, 0.000000016, 0.000000100, 0.000000168, 0.000000261, 1, 1, 129.000000000
1618223071.842007637, 0.000000061, 0.000000132, 0.000000164, 0.000000320, 0.000000416, 0.000000494, 0.000000011, 0.000000032, 0.000000041, 0.000000171, 0.000000381, 0.000000460, 1, 1, 108.000000000
1618223071.875340700, 0.000000090, 0.000000101, 0.000000187, 0.000000402, 0.000000786, 0.000000839, 0.000000009, 0.000000013, 0.000000045, 0.000000149, 0.000000284, 0.000000468, 1, 1, 79.000000000
1618223071.908673525, 0.000000042, 0.000000048, 0.000000091, 0.000000319, 0.000000364, 0.000000588, 0.000000011, 0.000000042, 0.000000065, 0.000000195, 0.000000320, 0.000000462, 1, 1, 80.000000000
1618223071.942006588, 0.000000050, 0.000000119, 0.000000127, 0.000000471, 0.000000595, 0.000000807, 0.000000016, 0.000000036, 0.000000095, 0.000000182, 0.000000510, 0.000000743, 1, 0, 44.000000000
1618223072.008672237, 0.000000022, 0.000000027, 0.000000059, 0.000000266, 0.000000383, 0.000000485, 0.000000020, 0.000000022, 0.000000051, 0.000000259, 0.000000343, 0.000000384, 1, 1, 86.000000000
1618223072.042005062, 0.000000036, 0.000000099, 0.000000110, 0.000000438, 0.000000582, 0.000000717, 0.000000025, 0.000000038, 0.000000078, 0.000000325, 0.000000432, 0.000000572, 1, 1, 101.000000000
1618223072.075338125, 0.000000085, 0.000000086, 0.000000131, 0.000000467, 0.000000776, 0.000000856, 0.000000028, 0.000000043, 0.000000102, 0.000000265, 0.000000494, 0.000000556, 1, 1, 101.000000000
1618223072.108670950, 0.000000041, 0.000000043, 0.000000099, 0.000000347, 0.000000496, 0.000000747, 0.000000023, 0.000000040, 0.000000088, 0.000000308, 0.000000365, 0.000000680, 1, 1, 94.000000000
1618223072.142003775, 0.000000038, 0.000000091, 0.000000104, 0.000000501, 0.000000715, 0.000000911, 0.000000036, 0.000000055, 0.000000088, 0.000000443, 0.000000659, 0.000000878, 1, 1, 96.000000000
1618223072.208669662, 0.000000018, 0.000000025, 0.000000052, 0.000000250, 0.000000330, 0.000000537, 0.000000016, 0.000000018, 0.000000049, 0.000000245, 0.000000313, 0.000000372, 1, 1, 92.000000000
1618223072.242002726, 0.000000036, 0.000000076, 0.000000087, 0.000000401, 0.000000547, 0.000000651, 0.000000031, 0.000000034, 0.000000071, 0.000000324, 0.000000398, 0.000000534, 1, 1, 104.000000000
1618223072.275335550, 0.000000069, 0.000000082, 0.000000108, 0.000000440, 0.000000675, 0.000000801, 0.000000026, 0.000000061, 0.000000090, 0.000000302, 0.000000445, 0.000000634, 1, 1, 102.000000000
1618223072.308668375, 0.000000037, 0.000000042, 0.000000100, 0.000000327, 0.000000494, 0.000000775, 0.000000024, 0.000000034, 0.000000081, 0.000000298, 0.000000325, 0.000000661, 1, 1, 110.000000000
1618223072.342001438, 0.000000053, 0.000000079, 0.000000086, 0.000000475, 0.000000654, 0.000000911, 0.000000041, 0.000000047, 0.000000077, 0.000000367, 0.000000483, 0.000000847, 1, 1, 106.000000000
1618223072.408667088, 0.000000018, 0.000000021, 0.000000048, 0.000000225, 0.000000303, 0.000000443, 0.000000018, 0.000000019, 0.000000046, 0.000000223, 0.000000297, 0.000000402, 1, 1, 100.000000000
1618223072.442000151, 0.000000042, 0.000000070, 0.000000073, 0.000000373, 0.000000520, 0.000000690, 0.000000040, 0.000000055, 0.000000069, 0.000000366, 0.000000503, 0.000000556, 1, 1, 93.000000000
1618223072.475332975, 0.000000064, 0.000000079, 0.000000105, 0.000000463, 0.000000677, 0.000000822, 0.000000048, 0.000000071, 0.000000100, 0.000000420, 0.000000558, 0.000000755, 1, 1, 93.000000000
1618223072.508665800, 0.000000035, 0.000000042, 0.000000104, 0.000000332, 0.000000551, 0.000000828, 0.000000028, 0.000000039, 0.000000092, 0.000000328, 0.000000402, 0.000000754, 1, 1, 108.000000000
