# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1646305719.128249645, 0.000000775, 0.000009519, 0.000011645, 0.000012028, 0.000018162, 0.000034974, 0.000000775, 0.000009519, 0.000011645, 0.000012028, 0.000018162, 0.000034974, 0, 1, 0, 0, 0.000000000
1646305719.203246832, 0.000002713, 0.000011454, 0.000013374, 0.000069082, 0.000074824, 0.000095845, 0.000002713, 0.000011454, 0.000013374, 0.000069082, 0.000074824, 0.000095845, 0, 0, 1, 0, 0.000000000
1646305719.228245735, 0.000001158, 0.000002728, 0.000008705, 0.000015037, 0.000019100, 0.000034776, 0.000001158, 0.000002728, 0.000008705, 0.000015037, 0.000019100, 0.000034776, 0, 1, 0, 0, 0.000000000
1646305719.253244877, 0.000000701, 0.000002198, 0.000002608, 0.000011182, 0.000019546, 0.000027629, 0.000000701, 0.000002198, 0.000002608, 0.000011182, 0.000019546, 0.000027629, 0, 1, 0, 0, 0.000000000
1646305719.278243780, 0.000000707, 0.000001666, 0.000002388, 0.000007526, 0.000015629, 0.000023453, 0.000000707, 0.000001666, 0.000002388, 0.000007526, 0.000015629, 0.000023453, 0, 1, 0, 0, 0.000000000
1646305719.303242922, 0.000000840, 0.000002235, 0.000002591, 0.000006908, 0.000008037, 0.000018595, 0.000000840, 0.000002235, 0.000002591, 0.000006908, 0.000008037, 0.000018595, 0, 0, 1, 0, 0.000000000
1646305719.328241825, 0.000000316, 0.000000758, 0.000002363, 0.000005150, 0.000005641, 0.000009699, 0.000000316, 0.000000758, 0.000002363, 0.000005150, 0.000005641, 0.000009699, 0, 1, 0, 0, 0.000000000
1646305719.353240728, 0.000000254, 0.000000772, 0.000001091, 0.000004544, 0.000005994, 0.000010254, 0.000000187, 0.000000659, 0.000000904, 0.000000792, 0.000001315, 0.000006872, 1, 0, 0, 0, 3.000000000
1646305719.378239870, 0.000000506, 0.000000872, 0.000001232, 0.000001324, 0.000001699, 0.000006872, 0.000000479, 0.000000808, 0.000001196, 0.000000369, 0.000000795, 0.000006663, 0, 1, 0, 0, 0.000000000
1646305719.403239012, 0.000000624, 0.000001396, 0.000001630, 0.000000884, 0.000001216, 0.000005394, 0.000000235, 0.000000425, 0.000000879, 0.000000334, 0.000000605, 0.000004046, 0, 0, 1, 0, 9.000000000
1646305719.428238153, 0.000000162, 0.000000546, 0.000000925, 0.000000623, 0.000000735, 0.000003145, 0.000000064, 0.000000245, 0.000000320, 0.000000020, 0.000000431, 0.000003000, 0, 1, 0, 0, 0.000000000
1646305719.453237057, 0.000000131, 0.000000395, 0.000000747, 0.000000065, 0.000000647, 0.000003563, 0.000000058, 0.000000203, 0.000000335, 0.000000071, 0.000000223, 0.000000975, 0, 0, 1, 0, 29.000000000
1646305719.478235960, 0.000000419, 0.000000669, 0.000000828, 0.000000171, 0.000000390, 0.000001307, 0.000000214, 0.000000340, 0.000000437, 0.000000106, 0.000000155, 0.000000345, 0, 1, 0, 0, 0.000000000
1646305719.503235102, 0.000000635, 0.000001002, 0.000001089, 0.000000273, 0.000000332, 0.000000604, 0.000000048, 0.000000224, 0.000000371, 0.000000104, 0.000000169, 0.000000410, 0, 0, 1, 0, 28.000000000
1646305719.528234005, 0.000000135, 0.000000393, 0.000000844, 0.000000233, 0.000000313, 0.000000709, 0.000000007, 0.000000108, 0.000000208, 0.000000075, 0.000000161, 0.000000488, 0, 1, 0, 0, 0.000000000
1646305719.553233147, 0.000000149, 0.000000319, 0.000000561, 0.000000159, 0.000000305, 0.000000856, 0.000000010, 0.000000079, 0.000000159, 0.000000036, 0.000000162, 0.000000587, 0, 1, 0, 0, 0.000000000
1646305719.578232050, 0.000000145, 0.000000279, 0.000000483, 0.000000079, 0.000000282, 0.000000922, 0.000000011, 0.000000060, 0.000000129, -0.000000001, 0.000000147, 0.000000620, 0, 1, 0, 0, 0.000000000
1646305719.603230953, 0.000000416, 0.000000729, 0.000000758, 0.000000037, 0.000000253, 0.000000908, 0.000000068, 0.000000176, 0.000000293, 0.000000038, 0.000000143, 0.000000591, 0, 0, 1, 0, 32.000000000
1646305719.628230095, 0.000000106, 0.000000167, 0.000000705, 0.000000143, 0.000000246, 0.000000801, 0.000000018, 0.000000060, 0.000000184, 0.000000102, 0.000000126, 0.000000531, 0, 1, 0, 0, 0.000000000
1646305719.653228998, 0.000000074, 0.000000146, 0.000000334, 0.000000268, 0.000000285, 0.000000810, 0.000000051, 0.000000106, 0.000000179, 0.000000084, 0.000000104, 0.000000398, 0, 0, 1, 0, 49.000000000
1646305719.678228140, 0.000000154, 0.000000243, 0.000000434, 0.000000195, 0.000000234, 0.000000635, 0.000000099, 0.000000175, 0.000000338, 0.000000075, 0.000000094, 0.000000310, 0, 1, 0, 0, 0.000000000
1646305719.703227043, 0.000000682, 0.000000744, 0.000000834, 0.000000176, 0.000000209, 0.000000528, 0.000000406, 0.000000496, 0.000000660, 0.000000067, 0.000000104, 0.000000255, 0, 1, 0, 0, 0.000000000
1646305719.728226185, 0.000000088, 0.000000113, 0.000000808, 0.000000156, 0.000000170, 0.000000449, 0.000000064, 0.000000072, 0.000000618, 0.000000044, 0.000000056, 0.000000228, 0, 1, 0, 0, 0.000000000
1646305719.753225327, 0.000000042, 0.000000075, 0.000000201, 0.000000119, 0.000000143, 0.000000440, 0.000000038, 0.000000058, 0.000000089, 0.000000090, 0.000000100, 0.000000332, 1, 0, 0, 0, 9.000000000
1646305719.778224230, 0.000000034, 0.000000148, 0.000000192, 0.000000217, 0.000000254, 0.000000610, 0.000000016, 0.000000144, 0.000000173, 0.000000130, 0.000000209, 0.000000527, 0, 1, 0, 0, 0.000000000
1646305719.803223133, 0.000000539, 0.000000632, 0.000000719, 0.000000284, 0.000000432, 0.000000906, 0.000000241, 0.000000623, 0.000000709, 0.000000284, 0.000000419, 0.000000868, 0, 0, 0, 1, 2.000000000
1646305719.828222275, 0.000000055, 0.000000093, 0.000000562, 0.000000512, 0.000000730, 0.000001029, 0.000000046, 0.000000057, 0.000000559, 0.000000512, 0.000000727, 0.000001010, 0, 1, 0, 0, 0.000000000
1646305719.853221178, 0.000000029, 0.000000063, 0.000000186, 0.000000779, 0.000000953, 0.000001416, 0.000000024, 0.000000044, 0.000000093, 0.000000180, 0.000000270, 0.000001224, 1, 0, 0, 0, 12.000000000
1646305719.878220320, 0.000000017, 0.000000077, 0.000000228, 0.000000308, 0.000000455, 0.000001479, 0.000000011, 0.000000075, 0.000000202, 0.000000086, 0.000000181, 0.000001275, 0, 1, 0, 0, 0.000000000
1646305719.903219223, 0.000000451, 0.000000500, 0.000000655, 0.000000198, 0.000000336, 0.000001600, 0.000000076, 0.000000120, 0.000000222, 0.000000087, 0.000000116, 0.000000237, 0, 0, 1, 0, 68.000000000
1646305719.928218365, 0.000000019, 0.000000072, 0.000000251, 0.000000186, 0.000000211, 0.000000387, 0.000000007, 0.000000012, 0.000000068, 0.000000014, 0.000000083, 0.000000225, 0, 1, 0, 0, 0.000000000
1646305719.953217268, 0.000000017, 0.000000042, 0.000000122, 0.000000109, 0.000000195, 0.000000402, 0.000000016, 0.000000029, 0.000000065, 0.000000052, 0.000000065, 0.000000235, 0, 0, 1, 0, 68.000000000
